,Postcode,LATITUDE,LONGITUDE
323,463057,1.32297631,103.941467
324,463057,1.32297631,103.941467
325,460105,1.333722809,103.9365177
326,470709,1.335416066,103.9223501
327,461042,1.327978774,103.9258048
328,470709,1.335416066,103.9223501
329,460055,1.326848469,103.9190156
330,460075,1.327914779,103.9421444
331,460002,1.321301188,103.9332996
332,461037,1.325442004,103.9262076
333,470709,1.335416066,103.9223501
334,460425,1.329369602,103.9290675
335,460117,1.330654548,103.9384963
336,460423,1.327976141,103.9275651
337,461042,1.327978774,103.9258048
338,460533,1.333580162,103.9242187
339,470149,1.335769298,103.9127796
340,460035,1.322332207,103.9397662
341,460042,1.321478478,103.940721
342,460034,1.322056529,103.9383547
343,460007,1.322815443,103.9354552
344,460008,1.32284177,103.9360468
345,460080,1.32848132,103.9406116
346,460078,1.327260072,103.9408488
347,470135,1.333141064,103.9125235
348,470148,1.335340885,103.911905
349,460081,1.328915582,103.9405287
350,470142,1.335636498,103.9132694
351,470142,1.335636498,103.9132694
352,460124,1.329258819,103.9390464
353,470705,1.336636818,103.9189953
354,460554,1.332627151,103.9281721
355,470602,1.329348987,103.9115832
356,461081,1.329299912,103.9410884
357,460508,1.333400122,103.9325194
358,470720,1.335972774,103.924883
359,470765,1.335961068,103.9359901
360,467010,1.327275724,103.9248036
361,460185,1.326237253,103.9408276
362,410111,1.324058778,103.9113038
363,462220,1.325477105,103.9343482
364,470603,1.33000184,103.912464
365,462021,1.326473555,103.9222838
366,410672,1.33207913,103.9087571
367,460415,1.329649995,103.9302606
368,470763,1.336072095,103.9348306
369,460805,1.324306049,103.9216254
370,470723,1.336954394,103.9289606
371,470722,1.336636993,103.9282078
372,463219,1.324855984,103.9335196
373,410640,1.332101322,103.9049532
374,460160,1.31925983,103.9452029
375,410640,1.332101322,103.9049532
376,462094,1.333614296,103.9426283
377,571022,1.357466797,103.8391068
378,570407,1.363453206,103.8342146
379,570105,1.345894936,103.8473653
380,570167,1.348003411,103.8553957
381,570167,1.348003411,103.8553957
382,570111,1.347067527,103.8480637
383,570181,1.349138096,103.8528785
384,570166,1.348863451,103.8552258
385,570109,1.346750596,103.8479902
386,570115,1.347918389,103.8487501
387,570181,1.349138096,103.8528785
388,570260,1.359613768,103.8421874
389,571275,1.35673539,103.8435198
390,570214,1.357511897,103.8483034
391,570182,1.350205825,103.8530492
392,570448,1.35840617,103.8314316
393,570402,1.362768866,103.8327589
394,570128,1.34608832,103.8504668
395,570303,1.349769429,103.8384765
396,571275,1.35673539,103.8435198
397,571231,1.357468051,103.8464327
398,570134,1.345411048,103.8520798
399,650342,1.362583231,103.7485749
400,650530,1.356181992,103.7510934
401,650145,1.349973055,103.7437249
402,650528,1.356651468,103.7510918
403,650537,1.355115164,103.7508779
404,650213,1.346818455,103.7524969
405,650219,1.347207298,103.7549997
406,650235,1.348483521,103.7563004
407,650130,1.35106126,103.7458574
408,650212,1.347192811,103.7522173
409,650346,1.362471404,103.7505611
410,650219,1.347207298,103.7549997
411,650226,1.348733378,103.7531743
412,651247,1.349969437,103.7564978
413,650169,1.346607336,103.7409093
414,650154,1.347735583,103.743984
415,650260,1.350912592,103.7590211
416,650360,1.361067048,103.7506254
417,650217,1.346733922,103.7547278
418,650178,1.346054606,103.7426059
419,650169,1.346607336,103.7409093
420,650265,1.350008402,103.7598628
421,650134,1.35159087,103.7445096
422,760323,1.428179153,103.8412715
423,650301,1.356769427,103.7487743
424,650537,1.355115164,103.7508779
425,654289,1.344170293,103.7594314
426,650244,1.349182698,103.7572392
427,650248,1.350258841,103.7566047
428,651290,1.344411503,103.7574615
429,651395,1.364489743,103.7519871
430,650642,1.349006479,103.7517067
431,650185,1.347081585,103.744924
432,650106,1.348222309,103.7471885
433,651210,1.345428475,103.7508358
434,650386,1.363939422,103.752556
435,650394,1.366423112,103.7526886
436,650190,1.34538562,103.7460455
437,650206,1.346671926,103.7493835
438,651211,1.346802134,103.7503002
439,650391,1.365853749,103.7527285
440,650205,1.347121729,103.7500573
441,650193,1.346008943,103.7444236
442,650624,1.351341461,103.7495086
443,760452,1.422082643,103.8454157
444,760114,1.434137926,103.8270203
445,761107,1.432294917,103.827952
446,760121,1.434368977,103.830143
447,760211,1.431747562,103.8382921
448,760268,1.437217697,103.8395063
449,760275,1.437758771,103.8386905
450,760279,1.438372589,103.8373843
451,760271,1.437786584,103.8403741
452,760642,1.420970055,103.8374468
453,760628,1.418078028,103.8369573
454,760625,1.418173615,103.8361904
455,760717,1.425752338,103.8281044
456,760720,1.426420518,103.828958
457,760720,1.426420518,103.828958
458,760760,1.425794855,103.8327247
459,760752,1.427237612,103.8340502
460,760867,1.413906055,103.8380052
461,760865,1.414267587,103.8382599
462,760790,1.420000055,103.8337945
463,760863,1.416939516,103.8386199
464,760658,1.421896322,103.8394874
465,652290,1.343178552,103.7565485
466,650141,1.350441718,103.743212
467,650120,1.351059427,103.7477123
468,650289,1.344489809,103.7605172
469,161010,1.28745837,103.8326758
470,162002,1.28728822,103.831873
471,100045,1.271757071,103.8095604
472,160036,1.288300791,103.8271804
473,90020,1.276915948,103.8218187
474,163016,1.288001696,103.8316146
475,90032,1.273131053,103.8216629
476,90033,1.274361964,103.822184
477,160142,1.277008235,103.8280562
478,160131,1.280189419,103.8281784
479,160030,1.287669769,103.8282029
480,100063,1.274831282,103.8109414
481,160142,1.277008235,103.8280562
482,100061,1.275705008,103.8120071
483,151116,1.285134271,103.8215322
484,160131,1.280189419,103.8281784
485,100044,1.271408833,103.8108875
486,760935,1.425180059,103.8365963
487,760310,1.432359225,103.8410974
488,760314,1.431731417,103.8417528
489,760798,1.418874024,103.8332912
490,760120,1.434821388,103.8293478
